,name,rating,reviews,ctype,loc
1487,Mitsubishi Electric India,4.2,(725),Electronics Manufacturing,Pune +52 other locations
1488,Expleo Solutions,3.5,(725),IT Services & Consulting,Chennai +15 other locations
1489,Lavender Technology,4.9,(724),IT Services & Consulting,Bengaluru +8 other locations
1490,AI Airport Services,3.3,(724),Aviation,Mumbai +60 other locations
1491,Molex,3.9,(724),Electronics Manufacturing,Bengaluru +17 other locations
1492,TDK India Private Limited,3.9,(722),Semiconductors,Nashik +26 other locations
1493,Nvidia,3.5,(721),Hardware & Networking,Pune +19 other locations
1494,Bristlecone,3.6,(721),IT Services & Consulting,Bengaluru +14 other locations
1495,Tavant Technologies,3.8,(720),IT Services & Consulting,Bengaluru +13 other locations
1496,Bikanervala,3.8,(720),FMCG,New Delhi +70 other locations
1497,DuPont,4.2,(720),Waste Management,Hyderabad +46 other locations
1498,Genus Power Infrastructures,3.9,(720),Electronics Manufacturing,Jaipur +88 other locations
1499,Razorpay,3.4,(718),FinTech,Bengaluru +27 other locations
1500,Shalby Hospitals,4.2,(717),Healthcare,Ahmedabad +23 other locations
1501,BSH Home Appliances Group,3.8,(716),Consumer Electronics & Appliances,Bengaluru +60 other locations
1502,NecLife,3.6,(715),Pharma,Chandigarh +30 other locations
1503,Tredence,3.3,(715),IT Services & Consulting,Bengaluru +9 other locations
1504,bp,3.7,(715),Oil & Gas,Pune +15 other locations
1505,Kissht Finance,3.9,(714),FinTech,Mumbai +96 other locations
1506,URC Construction,3.6,(716),Engineering & Construction,Chennai +51 other locations
1507,Rentokil Pest Control,3.5,(715),Facility Management Services,Mumbai +111 other locations
1508,ffreedom app,3.5,(715),Internet,Bengaluru +25 other locations
1509,ReSource Pro,3.7,(716),BPO,Bengaluru +9 other locations
1510,Biba Apparels,3.5,(714),Fashion & Textile,New Delhi +97 other locations
1511,Medreich,3.8,(713),Pharma,Bengaluru +15 other locations
1512,Bahwan CyberTek,3.4,(713),IT Services & Consulting,Chennai +21 other locations
1513,Thriveni Earthmovers,3.9,(713),Metals & Mining,Jamshedpur +47 other locations
1514,uFaber,2.2,(711),Education & Training,Mumbai +24 other locations
1515,Cotiviti,3.5,(712),Analytics & KPO,Hyderabad +10 other locations
1516,KreditBee,3.5,(710),FinTech,Bengaluru +26 other locations
1517,Apple,4.3,(709),Consumer Electronics & Appliances,Bengaluru +107 other locations
1518,Goodyear,3.4,(709),Auto Components,Chhatrapati Sambhajinagar +66 other locations
1519,XcelServ Solutions,4.4,(708),IT Services & Consulting,New Delhi +33 other locations
1520,Infor Global Solution,3.9,(708),Software Product,Hyderabad +9 other locations
1521,Gartner,3.8,(709),Management Consulting,Gurugram +18 other locations
1522,Diebold Nixdorf,3.6,(708),Software Product,Hyderabad +45 other locations
1523,Raychem RPG,3.7,(706),Electrical Equipment,Mumbai +34 other locations
1524,Lovely Professional University,3.3,(705),Education & Training,Jalandhar +29 other locations
1525,Visteon,3.1,(705),Auto Components,Chennai +21 other locations
1526,Wow Momo Foods,4.1,(704),Hospitality,Kolkata +66 other locations
1527,Amrit Cement,3.9,(704),Building Material,Guwahati +50 other locations
1528,PrimEra Medical Technologies,3.5,(703),IT Services & Consulting,Hyderabad +14 other locations
1529,Ness Digital Engineering,3.2,(703),IT Services & Consulting,Bengaluru +11 other locations
1530,Central Bank of India,3.9,(703),Banking,Mumbai +210 other locations
1531,Moglix,3.3,(703),Internet,Noida +39 other locations
1532,Ramky Infrastructure,4.2,(702),Engineering & Construction,Hyderabad +51 other locations
1533,Wolters Kluwer,3.8,(702),Software Product,Pune +16 other locations
1534,Joyalukkas,4.6,(702),Retail,Bengaluru +76 other locations
1535,Mynd Solutions Private,3.7,(701),BPO,Gurugram +33 other locations
1536,Jubilant Ingrevia,3.8,(700),Chemicals,Bharuch +33 other locations
1537,Patel Engineering,4.1,(701),Engineering & Construction,Mumbai +70 other locations
1538,HRH Next Services,3.0,(700),BPO,Hyderabad +23 other locations
1539,Vindhya Telelinks,4.0,(699),Hardware & Networking,Lucknow +96 other locations
1540,CtrlS,3.7,(697),IT Services & Consulting,Hyderabad +17 other locations
1541,Kaar Tech,4.3,(696),IT Services & Consulting,Chennai +12 other locations
1542,LEAP India Limited,4.6,(696),Packaging,Mumbai +48 other locations
1543,Radico Khaitan,4.0,(696),Beverage,Rampur +81 other locations
1544,TCNS Clothing Company,4.1,(696),Fashion & Textile,New Delhi +110 other locations
1545,Nephroplus,3.8,(696),Healthcare,Hyderabad +113 other locations
1546,IHG,3.5,(695),Hospitality,New Delhi +46 other locations
1547,TTK Prestige,3.8,(696),Consumer Electronics & Appliances,Bengaluru +83 other locations
1548,Csc E Governance Services,3.7,(695),Government,New Delhi +202 other locations
1549,Asb International,3.6,(695),Industrial Machinery,Mumbai +23 other locations
1550,Technotask Business Solutions,3.5,(696),BPO,Bhopal +21 other locations
1551,Sykes Business Services Of India,3.4,(695),BPO,Hyderabad +15 other locations
1552,Transsion,4.0,(695),Consumer Electronics & Appliances,Noida +65 other locations
1553,Progressive Infovision,3.8,(694),Recruitment,New Delhi +79 other locations
1554,Samunnati,4.5,(694),NBFC,Chennai +61 other locations
1555,Writer Corporation,3.4,(693),Logistics,Mumbai +83 other locations
1556,Dodla Dairy,4.2,(693),Food Processing,Hyderabad +73 other locations
1557,North East Small Finance Bank,3.5,(693),Banking,Guwahati +92 other locations
1558,Bharat Serums and Vaccines,4.0,(693),Pharma,Mumbai +66 other locations
1559,HSBC Bank,4.0,(693),Banking,Hyderabad +37 other locations
1560,HSBC Bank,4.0,(693),Banking,Hyderabad +37 other locations
1561,Flash Electronics,3.5,(691),Electronics Manufacturing,Pune +22 other locations
1562,PPG Asian Paints,3.8,(691),Chemicals,Mumbai +60 other locations
1563,Nomura Holdings,3.6,(691),Investment Banking / Venture Capital / Private Equity,Mumbai +11 other locations
1564,BDO RISE Private Limited,3.6,(691),Accounting & Auditing,Bengaluru +9 other locations
1565,Wuerth,3.5,(693),Industrial Machinery,Pune +65 other locations
1566,Lohia Corp,4.0,(692),Industrial Machinery,Kanpur +21 other locations
1567,Vizag Steel,3.9,(690),Iron & Steel,Visakhapatnam +29 other locations
1568,TransUnion,3.6,(691),Financial Services,Chennai +10 other locations
1569,Leverage Edu,4.0,(690),EdTech,Noida +22 other locations
1570,NSB Bpo Solutions,2.8,(689),BPO,Noida +83 other locations
1571,Emami Agrotech,3.9,(689),Food Processing,Kolkata +67 other locations
1572,YOKOGAWA,3.8,(687),Industrial Automation,Bengaluru +26 other locations
1573,Bisk Farm,4.0,(688),Food Processing,Kolkata +139 other locations
1574,Titan Eye Plus,4.1,(687),Other,Kolkata +132 other locations
1575,Elite Elevators,4.2,(686),Industrial Machinery,Chennai +41 other locations
1576,ChannelPlay,3.8,(686),Marketing & Advertising,Gurugram +93 other locations
1577,Neeyamo Enterprise Solutions,3.5,(686),Madurai +10 other locations,N/A
1578,Autoliv,3.9,(686),Auto Components,Bengaluru +23 other locations
1579,Teamlease Digital,3.3,(686),Recruitment,Bengaluru +68 other locations
1580,Capco Technologies,3.8,(687),IT Services & Consulting,Bengaluru +18 other locations
1581,Quislex Legal Services,4.1,(685),Legal,Hyderabad +11 other locations
1582,Blue Yonder,3.6,(686),Software Product,Bengaluru +14 other locations
1583,Caparo Engineering India,3.9,(685),Auto Components,Chennai +34 other locations
1584,Keventer,3.8,(685),FMCG,Kolkata +65 other locations
1585,Cohesity,3.9,(685),Software Product,Pune +47 other locations
1586,Embibe,3.4,(684),EdTech,Bengaluru +19 other locations
